"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","309,500","310,000","313,500","307,500","148.35K","0.00%"
"03/30/2022","309,500","302,500","312,000","299,500","296.08K","3.51%"
"03/29/2022","299,000","298,500","303,000","297,000","110.32K","1.01%"
"03/28/2022","296,000","301,000","301,500","292,500","155.28K","-1.66%"
"03/27/2022","301,000","301,000","301,000","301,000","","0.00%"
"03/25/2022","301,000","301,000","303,000","297,500","148.44K","0.33%"
"03/24/2022","300,000","297,500","301,000","293,500","156.06K","0.84%"
"03/23/2022","297,500","294,500","306,000","292,000","399.63K","2.94%"
"03/22/2022","289,000","283,000","289,000","282,000","156.39K","2.48%"
"03/21/2022","282,000","287,000","289,500","281,000","122.98K","-1.23%"
"03/20/2022","285,500","285,500","285,500","285,500","","0.00%"
"03/18/2022","285,500","281,500","287,000","281,000","210.59K","1.96%"
"03/17/2022","280,000","279,000","285,500","279,000","218.27K","2.56%"
"03/16/2022","273,000","277,000","278,000","269,500","190.13K","0.00%"
"03/15/2022","273,000","284,000","284,500","270,500","210.97K","-4.21%"
"03/14/2022","285,000","286,500","289,500","280,000","205.49K","0.35%"
"03/11/2022","284,000","287,000","289,500","282,000","223.09K","-0.35%"
"03/10/2022","285,000","280,500","287,000","279,000","240.76K","4.01%"
"03/08/2022","274,000","273,000","276,500","270,000","177.00K","-0.90%"
"03/07/2022","276,500","270,500","280,500","270,000","174.36K","-0.54%"
"03/06/2022","278,000","278,000","278,000","278,000","","0.00%"
"03/04/2022","278,000","278,000","281,000","273,000","201.87K","-0.18%"
"03/03/2022","278,500","287,500","288,000","277,000","328.72K","-2.79%"
"03/02/2022","286,500","286,500","289,500","282,000","165.00K","-0.69%"
"03/01/2022","288,500","288,500","288,500","288,500","","0.00%"
"02/28/2022","288,500","285,000","289,500","280,500","228.75K","0.70%"
"02/27/2022","286,500","286,500","286,500","286,500","","0.00%"
"02/25/2022","286,500","289,500","292,000","282,000","303.28K","1.24%"
"02/24/2022","283,000","279,500","289,000","277,000","456.84K","0.53%"
"02/23/2022","281,500","282,500","289,500","280,500","531.61K","2.93%"
"02/22/2022","273,500","270,000","284,000","270,000","542.04K","-0.73%"
"02/21/2022","275,500","259,000","276,500","257,500","475.21K","4.95%"
"02/20/2022","262,500","262,500","262,500","262,500","","0.00%"
"02/18/2022","262,500","255,500","265,000","255,000","232.88K","0.96%"
"02/17/2022","260,000","260,000","268,500","254,000","465.98K","1.36%"
"02/16/2022","256,500","245,000","258,500","241,500","305.40K","7.32%"
"02/15/2022","239,000","254,000","254,500","237,000","294.72K","-5.91%"
"02/14/2022","254,000","247,500","256,000","243,000","165.99K","0.79%"
"02/13/2022","252,000","252,000","252,000","252,000","","0.00%"
"02/11/2022","252,000","250,000","258,000","245,500","182.87K","-1.18%"
"02/10/2022","255,000","261,000","265,000","253,000","203.27K","-1.16%"
"02/09/2022","258,000","264,000","265,000","255,500","177.12K","-0.19%"
"02/08/2022","258,500","252,000","268,000","251,500","351.17K","3.61%"
"02/07/2022","249,500","262,500","262,500","246,000","329.95K","-4.04%"
"02/06/2022","260,000","260,000","260,000","260,000","","0.00%"
"02/04/2022","260,000","235,000","264,500","235,000","349.88K","9.24%"
"02/03/2022","238,000","244,500","247,000","237,500","205.63K","0.42%"
"01/28/2022","237,000","244,500","244,500","229,500","406.30K","-1.86%"
"01/27/2022","241,500","250,000","255,000","241,500","306.28K","-3.98%"
"01/26/2022","251,500","271,500","272,500","251,000","425.53K","-7.20%"
"01/25/2022","271,000","280,000","281,500","269,000","178.63K","-2.17%"
"01/24/2022","277,000","283,500","285,000","275,000","191.94K","-2.81%"
"01/23/2022","285,000","285,000","285,000","285,000","","0.00%"
"01/21/2022","285,000","286,000","293,500","281,000","248.66K","-1.04%"
"01/20/2022","288,000","275,500","289,000","275,000","261.86K","4.92%"
"01/19/2022","274,500","273,000","276,500","267,000","267.25K","-1.08%"
"01/18/2022","277,500","280,000","284,500","276,500","149.63K","-0.89%"
"01/17/2022","280,000","281,000","286,500","278,000","140.75K","-1.41%"
"01/16/2022","284,000","284,000","284,000","284,000","","0.00%"
"01/14/2022","284,000","284,500","285,000","276,500","281.20K","-2.57%"
"01/13/2022","291,500","298,500","299,000","288,000","178.50K","-1.85%"
"01/12/2022","297,000","295,500","302,500","293,000","221.53K","2.77%"
"01/11/2022","289,000","294,000","300,500","288,000","207.42K","-2.20%"
"01/10/2022","295,500","302,000","302,000","289,000","274.33K","-2.31%"
"01/09/2022","302,500","302,500","302,500","302,500","","0.00%"
"01/07/2022","302,500","302,500","307,500","300,500","220.90K","1.34%"
"01/06/2022","298,500","308,000","308,500","296,500","456.28K","-4.94%"
"01/05/2022","314,000","332,500","336,000","310,500","498.19K","-6.96%"
"01/04/2022","337,500","350,500","351,500","336,000","220.97K","-3.71%"
"01/03/2022","350,500","352,000","360,500","349,000","179.30K","0.43%"
"12/30/2021","349,000","350,000","356,000","345,500","142.37K","-0.14%"
"12/29/2021","349,500","364,000","364,000","346,500","333.56K","-2.37%"
"12/28/2021","358,000","341,500","362,000","341,500","483.87K","4.99%"
"12/27/2021","341,000","338,000","343,000","335,500","152.74K","0.15%"
"12/26/2021","340,500","340,500","340,500","340,500","","0.00%"
"12/24/2021","340,500","341,000","345,000","339,500","125.17K","-0.15%"
"12/23/2021","341,000","346,000","347,500","339,500","152.92K","0.00%"
"12/22/2021","341,000","340,000","345,000","334,500","196.43K","1.19%"
"12/21/2021","337,000","325,500","338,500","323,000","186.28K","3.69%"
"12/20/2021","325,000","331,000","338,000","324,500","140.75K","-1.81%"
"12/19/2021","331,000","331,000","331,000","331,000","","0.00%"
"12/17/2021","331,000","329,500","334,500","328,500","107.05K","-0.60%"
"12/16/2021","333,000","338,000","338,000","330,500","107.61K","0.15%"
"12/15/2021","332,500","328,500","336,000","328,500","117.52K","0.30%"
"12/14/2021","331,500","332,000","339,000","329,000","206.92K","-1.78%"
"12/13/2021","337,500","351,500","353,000","336,500","268.21K","-4.12%"
"12/12/2021","352,000","352,000","352,000","352,000","","0.00%"
"12/10/2021","352,000","350,000","356,500","345,000","195.53K","-0.71%"
"12/09/2021","354,500","345,500","361,000","344,500","538.87K","3.96%"
"12/08/2021","341,000","344,000","348,500","337,500","363.03K","0.44%"
"12/07/2021","339,500","340,000","344,500","336,000","212.67K","1.34%"
"12/06/2021","335,000","347,500","349,500","334,000","363.49K","-5.50%"
"12/05/2021","354,500","354,500","354,500","354,500","","0.00%"
"12/03/2021","354,500","333,500","358,500","330,000","543.05K","7.42%"
"12/02/2021","330,000","344,000","346,000","328,500","504.51K","-6.38%"
"12/01/2021","352,500","365,000","369,500","342,500","407.43K","-3.29%"
"11/30/2021","364,500","377,500","380,000","357,500","529.94K","-1.22%"
"11/29/2021","369,000","360,500","386,500","360,000","368.66K","-0.81%"
"11/28/2021","372,000","372,000","372,000","372,000","","0.00%"
"11/26/2021","372,000","388,500","393,500","366,000","355.66K","-3.50%"
"11/25/2021","385,500","382,500","394,000","382,000","234.57K","-0.13%"
"11/24/2021","386,000","390,000","394,000","374,000","316.35K","-1.66%"
"11/23/2021","392,500","390,500","406,000","382,000","286.92K","0.00%"
"11/22/2021","392,500","395,000","397,500","370,000","564.26K","-2.00%"
"11/21/2021","400,500","400,500","400,500","400,500","","0.00%"
"11/19/2021","400,500","413,000","416,000","400,000","326.89K","-2.91%"
"11/18/2021","412,500","414,000","419,000","395,000","378.31K","-0.36%"
"11/17/2021","414,000","418,000","421,500","408,500","297.54K","0.00%"
"11/16/2021","414,000","410,000","418,000","404,500","316.68K","1.72%"
"11/15/2021","407,000","398,500","413,500","396,500","265.85K","2.65%"
"11/14/2021","396,500","396,500","396,500","396,500","","0.00%"
"11/12/2021","396,500","393,000","401,500","389,000","310.56K","1.93%"
"11/11/2021","389,000","379,000","390,500","378,000","277.55K","1.04%"
"11/10/2021","385,000","390,500","396,500","377,000","350.03K","-1.03%"
"11/09/2021","389,000","390,000","394,500","383,000","321.78K","-0.89%"
"11/08/2021","392,500","383,500","397,500","380,500","426.82K","2.35%"
"11/05/2021","383,500","360,500","388,000","357,000","805.39K","7.57%"
"11/04/2021","356,500","354,000","372,500","340,000","937.92K","2.89%"
"11/03/2021","346,500","349,000","356,000","341,000","263.08K","-0.43%"
"11/02/2021","348,000","352,500","358,500","345,000","318.35K","-0.14%"
"11/01/2021","348,500","340,000","350,000","338,000","414.70K","4.03%"
"10/31/2021","335,000","335,000","335,000","335,000","","0.00%"
"10/29/2021","335,000","337,500","342,000","330,500","245.88K","0.45%"
"10/28/2021","333,500","346,000","349,000","330,500","453.03K","-4.30%"
"10/27/2021","348,500","343,000","349,500","337,000","427.43K","1.90%"
"10/26/2021","342,000","328,000","347,000","325,500","713.68K","4.91%"
"10/25/2021","326,000","324,500","329,500","319,000","247.60K","0.31%"
"10/24/2021","325,000","325,000","325,000","325,000","","0.00%"
"10/22/2021","325,000","331,000","334,000","316,000","484.64K","-1.66%"
"10/21/2021","330,500","321,500","335,500","315,000","533.05K","3.44%"
"10/20/2021","319,500","326,000","338,000","315,000","767.21K","-0.78%"
"10/19/2021","322,000","309,000","324,500","306,500","502.26K","5.57%"
"10/18/2021","305,000","307,500","310,500","303,500","331.25K","-0.49%"
"10/17/2021","306,500","306,500","306,500","306,500","","0.00%"
"10/15/2021","306,500","290,000","308,500","290,000","753.83K","6.24%"
"10/14/2021","288,500","274,500","288,500","273,500","256.70K","5.10%"
"10/13/2021","274,500","272,500","279,500","272,500","103.97K","-0.36%"
"10/12/2021","275,500","281,000","282,000","272,000","160.98K","-1.96%"
"10/11/2021","281,000","281,000","281,000","281,000","","0.00%"
"10/08/2021","281,000","291,500","295,000","280,500","239.25K","-3.60%"
"10/07/2021","291,500","286,000","296,500","285,000","254.72K","3.00%"
"10/06/2021","283,000","297,000","297,500","283,000","232.17K","-3.41%"
"10/05/2021","293,000","288,000","300,000","288,000","359.90K","0.51%"
"10/04/2021","291,500","291,500","291,500","291,500","","0.00%"
"10/01/2021","291,500","299,500","302,000","287,000","324.53K","-2.35%"
"09/30/2021","298,500","290,000","302,500","289,000","490.25K","4.01%"
"09/29/2021","287,000","276,500","289,000","276,500","225.38K","1.23%"
"09/28/2021","283,500","287,500","294,500","281,500","414.23K","1.98%"
"09/27/2021","278,000","268,000","283,000","268,000","198.50K","3.73%"
"09/26/2021","268,000","268,000","268,000","268,000","","0.00%"
"09/24/2021","268,000","271,000","275,500","267,500","119.76K","-0.92%"
"09/23/2021","270,500","276,000","279,500","270,500","142.92K","-2.17%"
"09/22/2021","276,500","276,500","276,500","276,500","","0.00%"
"09/17/2021","276,500","276,000","278,000","270,000","223.55K","0.00%"
"09/16/2021","276,500","283,000","283,000","274,500","112.85K","-1.07%"
"09/15/2021","279,500","282,000","286,500","279,500","134.58K","-1.41%"
"09/14/2021","283,500","267,000","285,000","267,000","401.30K","7.39%"
"09/13/2021","264,000","265,500","273,500","260,500","192.75K","-2.04%"
"09/12/2021","269,500","269,500","269,500","269,500","","0.00%"
"09/10/2021","269,500","276,500","279,500","251,000","740.40K","-3.06%"
"09/09/2021","278,000","280,000","283,500","276,000","132.34K","-0.71%"
"09/08/2021","280,000","286,000","287,000","278,500","129.68K","-2.10%"
"09/07/2021","286,000","286,500","288,000","284,500","92.24K","-0.17%"
"09/06/2021","286,500","280,500","288,000","279,500","128.93K","1.96%"
"09/03/2021","281,000","284,500","284,500","279,500","114.11K","0.18%"
"09/02/2021","280,500","287,000","287,000","280,500","124.19K","-1.92%"
"09/01/2021","286,000","288,500","291,000","285,000","97.94K","-1.21%"
"08/31/2021","289,500","286,500","290,500","280,500","181.44K","1.22%"
"08/30/2021","286,000","289,500","291,500","286,000","107.18K","0.53%"
"08/27/2021","284,500","286,500","288,000","283,000","90.08K","-0.87%"
"08/26/2021","287,000","287,500","289,500","285,000","92.40K","0.53%"
"08/25/2021","285,500","288,500","290,000","283,500","99.68K","-1.04%"
